place/bounding_box/coordinates/0/0/0,place/bounding_box/coordinates/0/0/1,place/bounding_box/coordinates/0/1/0,place/bounding_box/coordinates/0/1/1,place/bounding_box/coordinates/0/3/0,place/bounding_box/coordinates/0/3/1,place/bounding_box/coordinates/0/4/0,place/bounding_box/type,place/country_code,place/full_name,place/name,place/place_type,,createdAt,,place/bounding_box/coordinates/0/2/1,place/bounding_box/coordinates/0/4/1,place/id,,,place/bounding_box/coordinates/0/2/0,place/country
-122.452708,40.456935,-122.452708,40.651054,-122.267398,40.456935,-122.452708,,US,"Redding, CA",Redding,city,,2024-07-26 14:25:09+00:00,,40.651054,40.456935,7d51c8dfbb08a9de,,,-122.267398,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-26 19:14:49+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-26 19:52:53+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-124.482003,32.528832,-124.482003,42.009519,-114.131212,32.528832,-124.482003,,US,"California, USA",California,admin,,2024-07-26 20:32:10+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,-114.131212,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-26 22:15:56+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-27 00:13:47+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-117.282538,32.53962,-117.282538,33.0804044,-116.9274403,32.53962,-117.282538,,US,"San Diego, CA",San Diego,city,,2024-07-27 00:50:50+00:00,,33.0804044,32.53962,a592bd6ceb1319f7,,,-116.9274403,United States
-121.260264,38.621443,-121.260264,38.7143308,-121.085432,38.621443,-121.260264,,US,"Folsom, CA",Folsom,city,,2024-07-27 03:57:12+00:00,,38.7143308,38.621443,8eccead85cc1b6c0,,,-121.085432,United States
-115.1581427,35.917793,-115.1581427,36.094719,-114.918531,35.917793,-115.1581427,,US,"Henderson, NV",Henderson,city,,2024-07-27 10:46:12+00:00,,36.094719,35.917793,0e2242eb8691df96,,,-114.918531,United States
-124.482003,32.528832,-124.482003,42.009519,-114.131212,32.528832,-124.482003,,US,"California, USA",California,admin,,2024-07-27 15:20:47+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,-114.131212,United States
-82.762703,27.807938,-82.762703,27.837259,-82.722462,27.807938,-82.762703,,US,"West Lealman, FL",West Lealman,city,,2024-07-27 15:57:37+00:00,,27.837259,27.807938,003e43101ee277ad,,,-82.722462,United States
-124.482003,32.528832,-124.482003,42.009519,-114.131212,32.528832,-124.482003,,US,"California, USA",California,admin,,2024-07-27 18:45:52+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,-114.131212,United States
-124.482003,32.528832,-124.482003,42.009519,-114.131212,32.528832,-124.482003,,US,"California, USA",California,admin,,2024-07-27 20:19:37+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,-114.131212,United States
-117.2875328,34.413411,-117.2875328,34.5718427,-117.103437,34.413411,-117.2875328,,US,"Apple Valley, CA",Apple Valley,city,,2024-07-27 20:22:56+00:00,,34.5718427,34.413411,41c331abe42d9969,,,-117.103437,United States
-118.4019312,33.814689,-118.4019312,33.8946492,-118.352695,33.814689,-118.4019312,,US,"Redondo Beach, CA",Redondo Beach,city,,2024-07-27 21:36:59+00:00,,33.8946492,33.814689,e1e35d357ceefa52,,,-118.352695,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-27 23:58:35+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-73.848875,43.020588,-73.848875,43.11327,-73.684637,43.020588,-73.848875,,US,"Saratoga Springs, NY",Saratoga Springs,city,,2024-07-28 01:07:41+00:00,,43.11327,43.020588,d606af411edd5297,,,-73.684637,United States
-124.482003,32.528832,-124.482003,42.009519,-114.131212,32.528832,-124.482003,,US,"California, USA",California,admin,,2024-07-28 03:47:14+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,-114.131212,United States
-121.919174,39.676071,-121.919174,39.818003,-121.748286,39.676071,-121.919174,,US,"Chico, CA",Chico,city,,2024-07-28 04:20:51+00:00,,39.818003,39.676071,9b381228ebd9a499,,,-121.748286,United States
-121.4038418,38.7022707,-121.4038418,38.728927,-121.30897,38.7022707,-121.4038418,,US,"Antelope, CA",Antelope,city,,2024-07-28 04:26:01+00:00,,38.728927,38.7022707,013214de57b4da2e,,,-121.30897,United States
-119.93251,36.648905,-119.93251,36.923179,-119.632419,36.648905,-119.93251,,US,"Fresno, CA",Fresno,city,,2024-07-28 06:45:50+00:00,,36.923179,36.648905,944c03c1d85ef480,,,-119.632419,United States
-122.7900653,45.421863,-122.7900653,45.6509405,-122.471751,45.421863,-122.7900653,,US,"Portland, OR",Portland,city,,2024-07-28 07:33:03+00:00,,45.6509405,45.421863,ac88a4f17a51c7fc,,,-122.471751,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-28 08:22:42+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-28 08:23:59+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-121.620503,39.785231,-121.620503,39.870946,-121.575483,39.785231,-121.620503,,US,"Magalia, CA",Magalia,city,,2024-07-28 11:13:54+00:00,,39.870946,39.785231,0db1376c8826fe8f,,,-121.575483,United States
-117.282538,32.53962,-117.282538,33.0804044,-116.9274403,32.53962,-117.282538,,US,"San Diego, CA",San Diego,city,,2024-07-28 13:14:00+00:00,,33.0804044,32.53962,a592bd6ceb1319f7,,,-116.9274403,United States
-117.282538,32.53962,-117.282538,33.0804044,-116.9274403,32.53962,-117.282538,,US,"San Diego, CA",San Diego,city,,2024-07-28 14:39:08+00:00,,33.0804044,32.53962,a592bd6ceb1319f7,,,-116.9274403,United States
-3.640636998,52.94713131,-3.640636998,55.18887875,-1.909625983,52.94713131,-3.640636998,,GB,"North West, England",North West,admin,,2024-07-28 15:12:08+00:00,,55.18887875,52.94713131,0cbfb5dccb8131b8,,,-1.909625983,United Kingdom
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-28 18:09:19+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-28 18:09:32+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-28 18:39:38+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-119.93251,36.648905,-119.93251,36.923179,-119.632419,36.648905,-119.93251,,US,"Fresno, CA",Fresno,city,,2024-07-28 19:28:03+00:00,,36.923179,36.648905,944c03c1d85ef480,,,-119.632419,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-28 19:47:57+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-28 20:03:29+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-117.2875328,34.413411,-117.2875328,34.5718427,-117.103437,34.413411,-117.2875328,,US,"Apple Valley, CA",Apple Valley,city,,2024-07-28 20:57:32+00:00,,34.5718427,34.413411,41c331abe42d9969,,,-117.103437,United States
-84.3219475,33.752879,-84.3219475,36.588118,-75.40012,33.752879,-84.3219475,,US,"North Carolina, USA",North Carolina,admin,,2024-07-28 23:10:08+00:00,,36.588118,33.752879,3b98b02fba3f9753,,,-75.40012,United States
-117.282538,32.53962,-117.282538,33.0804044,-116.9274403,32.53962,-117.282538,,US,"San Diego, CA",San Diego,city,,2024-07-29 12:38:30+00:00,,33.0804044,32.53962,a592bd6ceb1319f7,,,-116.9274403,United States
-82.758209,27.694323,-82.758209,27.8971155,-82.587597,27.694323,-82.758209,,US,"St Petersburg, FL",St Petersburg,city,,2024-07-29 16:02:57+00:00,,27.8971155,27.694323,5d231ed8656fcf5a,,,-82.587597,United States
-122.035311,37.193164,-122.035311,37.469154,-121.71215,37.193164,-122.035311,,US,"San Jose, CA",San Jose,city,,2024-07-29 17:14:38+00:00,,37.469154,37.193164,7d62cffe6f98f349,,,-121.71215,United States
-1.2024508,53.473157,-1.2024508,53.562139,-1.0762686,53.473157,-1.2024508,,GB,"Doncaster, England",Doncaster,city,,2024-07-29 18:14:05+00:00,,53.562139,53.473157,1fb4edc95a98a034,,,-1.0762686,United Kingdom
-79.639319,43.403221,-79.639319,43.855401,-78.90582,43.403221,-79.639319,,CA,"Toronto, Ontario",Toronto,city,,2024-07-29 19:13:55+00:00,,43.855401,43.403221,3797791ff9c0e4c6,,,-78.90582,Canada
-105.565229,40.331326,-105.565229,40.392868,-105.4877233,40.331326,-105.565229,,US,"Estes Park, CO",Estes Park,city,,2024-07-29 21:19:19+00:00,,40.392868,40.331326,00f7fa551b4e869d,,,-105.4877233,United States
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,44.5080287,-122.9343743,,US,"Lebanon, OR",Lebanon,city,,2024-07-29 23:44:08+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,-122.8766753,United States
-119.93251,36.648905,-119.93251,36.923179,-119.632419,,-119.93251,Polygon,US,,,,,2024-08-02 01:42:45+00:00,,36.923179,36.648905,944c03c1d85ef480,,,,
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,,-122.9343743,Polygon,US,,,,,2024-08-02 15:58:09+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,,
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,,-122.9343743,Polygon,US,,,,,2024-08-03 17:36:46+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,,
41.8153438,12.1068662,41.8153438,18.9986477,54.534186,,41.8153438,Polygon,YE,,,,,2024-08-04 20:10:12+00:00,,18.9986477,12.1068662,e5ac80d8b565c01f,,,,
-119.93251,36.648905,-119.93251,36.923179,-119.632419,,-119.93251,Polygon,US,,,,,2024-08-04 20:30:31+00:00,,36.923179,36.648905,944c03c1d85ef480,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-05 00:28:02+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,,-82.8161102,Polygon,US,,,,,2024-08-05 13:28:03+00:00,,27.884351,27.8097901,01686caa11f87b5e,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-05 21:48:09+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-121.919174,39.676071,-121.919174,39.818003,-121.748286,,-121.919174,Polygon,US,,,,,2024-08-05 22:15:45+00:00,,39.818003,39.676071,9b381228ebd9a499,,,,
-119.93251,36.648905,-119.93251,36.923179,-119.632419,,-119.93251,Polygon,US,,,,,2024-08-05 23:41:11+00:00,,36.923179,36.648905,944c03c1d85ef480,,,,
-121.919174,39.676071,-121.919174,39.818003,-121.748286,,-121.919174,Polygon,US,,,,,2024-08-06 02:16:28+00:00,,39.818003,39.676071,9b381228ebd9a499,,,,
-119.93251,36.648905,-119.93251,36.923179,-119.632419,,-119.93251,Polygon,US,,,,,2024-08-06 02:46:32+00:00,,36.923179,36.648905,944c03c1d85ef480,,,,
-119.93251,36.648905,-119.93251,36.923179,-119.632419,,-119.93251,Polygon,US,,,,,2024-08-06 06:10:39+00:00,,36.923179,36.648905,944c03c1d85ef480,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-06 07:23:03+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-121.919174,39.676071,-121.919174,39.818003,-121.748286,,-121.919174,Polygon,US,,,,,2024-08-06 22:54:07+00:00,,39.818003,39.676071,9b381228ebd9a499,,,,
-76.456477,39.4279285,-76.456477,39.468148,-76.371116,,-76.456477,Polygon,US,,,,,2024-08-07 00:49:02+00:00,,39.468148,39.4279285,ced7ba6d0f287be3,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-07 02:10:12+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-07 16:04:04+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-16.8008387,28.0659336,-16.8008387,28.211745,-16.6586766,,-16.8008387,Polygon,ES,,,,,2024-08-07 23:02:41+00:00,,28.211745,28.0659336,4ecd7c95b51819d7,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,,-82.8161102,Polygon,US,,,,,2024-08-08 13:18:25+00:00,,27.884351,27.8097901,01686caa11f87b5e,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,,-82.8161102,Polygon,US,,,,,2024-08-09 13:25:41+00:00,,27.884351,27.8097901,01686caa11f87b5e,,,,
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,,-122.9343743,Polygon,US,,,,,2024-08-09 17:11:47+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,,-82.8161102,Polygon,US,,,,,2024-08-09 17:27:14+00:00,,27.884351,27.8097901,01686caa11f87b5e,,,,
-82.849182,27.865251,-82.849182,27.943275,-82.696478,,-82.849182,Polygon,US,,,,,2024-08-10 15:52:26+00:00,,27.943275,27.865251,e54569d90c7032c0,,,,
-82.762703,27.807938,-82.762703,27.837259,-82.722462,,-82.762703,Polygon,US,,,,,2024-08-10 16:32:33+00:00,,27.837259,27.807938,003e43101ee277ad,,,,
