place/bounding_box/coordinates/0/0/0,place/bounding_box/coordinates/0/0/1,place/bounding_box/coordinates/0/1/0,place/bounding_box/coordinates/0/1/1,place/bounding_box/coordinates/0/3/0,place/bounding_box/coordinates/0/3/1,place/bounding_box/coordinates/0/4/0,place/bounding_box/type,place/country_code,place/full_name,place/name,place/place_type,,createdAt,,place/bounding_box/coordinates/0/2/1,place/bounding_box/coordinates/0/4/1,place/id,,,place/bounding_box/coordinates/0/2/0,place/country
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,,-122.9343743,Polygon,US,,,,,2024-08-10 19:48:50+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-10 19:59:47+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-11 06:58:02+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-11 07:52:36+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-11 08:18:32+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-0.185969,38.5011229,-0.185969,38.6102889,-0.0670386,,-0.185969,Polygon,ES,,,,,2024-08-11 13:55:52+00:00,,38.6102889,38.5011229,b282ba999468e474,,,,
-122.28853,37.443954,-122.28853,37.550633,-122.177339,,-122.28853,Polygon,US,,,,,2024-08-11 15:34:08+00:00,,37.550633,37.443954,a409256339a7c6a1,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-11 18:27:34+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,,-82.8161102,Polygon,US,,,,,2024-08-12 14:17:13+00:00,,27.884351,27.8097901,01686caa11f87b5e,,,,
-82.758209,27.694323,-82.758209,27.8971155,-82.587597,,-82.758209,Polygon,US,,,,,2024-08-12 15:13:59+00:00,,27.8971155,27.694323,5d231ed8656fcf5a,,,,
-79.087697,33.523442,-79.087697,33.572178,-79.016701,,-79.087697,Polygon,US,,,,,2024-08-13 01:05:11+00:00,,33.572178,33.523442,f5d9845d07a82c46,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,,-124.482003,Polygon,US,,,,,2024-08-13 08:05:37+00:00,,42.009519,32.528832,fbd6d2f5a4e4a15e,,,,
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,,-122.9343743,Polygon,US,,,,,2024-08-13 18:06:55+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,,
-73.94838,41.735688,-73.94838,41.848195,-73.852278,,-73.94838,Polygon,US,,,,,2024-08-13 19:04:09+00:00,,41.848195,41.735688,01c3d12d4fe985e2,,,,
-78.3688776,17.7057855,-78.3688776,18.5250291,-76.183028,,-78.3688776,Polygon,JM,,,,,2024-08-13 21:26:33+00:00,,18.5250291,17.7057855,d66ca907ceb62690,,,,
-122.9343743,44.5080287,-122.9343743,44.5611626,-122.8766753,,-122.9343743,Polygon,US,,,,,2024-08-14 16:22:15+00:00,,44.5611626,44.5080287,a12170d40e438f19,,,,
-124.703541,41.991795,-124.703541,46.2990779,-116.463262,,-124.703541,Polygon,US,,,,,2024-08-14 17:44:23+00:00,,46.2990779,41.991795,df7fd3a3b9eff7ee,,,,
-82.846055,27.810829,-82.846055,27.865892,-82.787067,,-82.846055,Polygon,US,,,,,2024-08-14 23:59:14+00:00,,27.865892,27.810829,01e32cf975801396,,,,
-51.030222,-20.402875,-51.030222,-20.130009,-50.865101,-20.402875,-51.030222,Polygon,BR,"Santa Fé do Sul, Brasil",Santa Fé do Sul,city,,2024-08-27 20:42:28+00:00,,,,,,,,
-81.046876,35.001706,-81.046876,35.416412,-80.646695,35.001706,-81.046876,Polygon,US,"Charlotte, NC",Charlotte,city,,2024-08-28 00:46:07+00:00,,,,,,,,
-2.689648753,54.45113685,-2.689648753,55.81169955,-0.789589999,54.45113685,-2.689648753,Polygon,GB,"North East, England",North East,admin,,2024-08-29 08:42:48+00:00,,,,,,,,
-82.783299,27.738608,-82.783299,27.786695,-82.743501,27.738608,-82.783299,Polygon,US,"Treasure Island, FL",Treasure Island,city,,2024-08-29 15:14:29+00:00,,,,,,,,
-82.762703,27.807938,-82.762703,27.837259,-82.722462,27.807938,-82.762703,Polygon,US,"West Lealman, FL",West Lealman,city,,2024-08-29 15:55:57+00:00,,,,,,,,
37.584624,-4.7247665,37.584624,-0.0056534,41.5578578,-4.7247665,37.584624,Polygon,KE,"Coast, Kenya",Coast,admin,,2024-08-29 19:44:55+00:00,,,,,,,,
-82.752428,27.8246325,-82.752428,27.897396,-82.663128,27.8246325,-82.752428,Polygon,US,"Pinellas Park, FL",Pinellas Park,city,,2024-08-29 19:46:23+00:00,,,,,,,,
-82.732594,27.74548,-82.732594,27.7630544,-82.724244,27.74548,-82.732594,Polygon,US,"Bear Creek, FL",Bear Creek,city,,2024-08-29 21:55:24+00:00,,,,,,,,
-82.732594,27.74548,-82.732594,27.7630544,-82.724244,27.74548,-82.732594,Polygon,US,"Bear Creek, FL",Bear Creek,city,,2024-08-29 22:45:35+00:00,,,,,,,,
-81.066211,35.167439,-81.066211,35.285384,-81.009442,35.167439,-81.066211,Polygon,US,"Belmont, NC",Belmont,city,,2024-08-29 23:22:59+00:00,,,,,,,,
-82.732594,27.74548,-82.732594,27.7630544,-82.724244,27.74548,-82.732594,Polygon,US,"Bear Creek, FL",Bear Creek,city,,2024-08-29 23:29:39+00:00,,,,,,,,
-61.9305415,10.0424194,-61.9305415,11.3585325,-60.4930236,10.0424194,-61.9305415,Polygon,TT,Trinidad and Tobago,Trinidad and Tobago,country,,2024-08-31 14:10:23+00:00,,,,,,,,
-1.4345313,51.5988225,-1.4345313,51.6144166,-1.4126191,51.5988225,-1.4345313,Polygon,GB,"Grove, England",Grove,city,,2024-08-31 18:24:22+00:00,,,,,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,27.8097901,-82.8161102,Polygon,US,"Seminole, FL",Seminole,city,,2024-09-01 15:25:06+00:00,,,,,,,,
-122.714308,45.2479222,-122.714308,45.294585,-122.668671,45.2479222,-122.714308,Polygon,US,"Canby, OR",Canby,city,,2024-09-02 03:19:13+00:00,,,,,,,,
32.1922973,-0.1477888,32.1922973,0.5850724,32.6836991,-0.1477888,32.1922973,Polygon,UG,"Wakiso, Uganda",Wakiso,admin,,2024-09-02 05:40:15+00:00,,,,,,,,
-80.083481,40.4608617,-80.083481,40.47603,-80.0468384,40.4608617,-80.083481,Polygon,US,"McKees Rocks, PA",McKees Rocks,city,,2024-09-02 17:30:58+00:00,,,,,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,27.8097901,-82.8161102,Polygon,US,"Seminole, FL",Seminole,city,,2024-09-03 00:56:31+00:00,,,,,,,,
-82.846055,27.810829,-82.846055,27.865892,-82.787067,27.810829,-82.846055,Polygon,US,"Boca Ciega, FL",Boca Ciega,city,,2024-09-03 18:40:38+00:00,,,,,,,,
-0.870035,51.249177,-0.870035,51.299537,-0.814292,51.249177,-0.870035,Polygon,GB,"Fleet, England",Fleet,city,,2024-09-03 19:21:17+00:00,,,,,,,,
-97.789805,28.379742,-97.789805,28.394634,-97.770487,28.379742,-97.789805,Polygon,US,"Blue Berry Hill, TX",Blue Berry Hill,city,,2024-09-04 15:28:16+00:00,,,,,,,,
-111.083219,32.057802,-111.083219,32.320979,-110.747928,32.057802,-111.083219,Polygon,US,"Tucson, AZ",Tucson,city,,2024-09-04 16:05:08+00:00,,,,,,,,
32.1922973,-0.1477888,32.1922973,0.5850724,32.6836991,-0.1477888,32.1922973,Polygon,UG,"Wakiso, Uganda",Wakiso,admin,,2024-09-04 17:25:33+00:00,,,,,,,,
-117.399853,33.152639,-117.399853,33.299993,-117.241905,33.152639,-117.399853,Polygon,US,"Oceanside, CA",Oceanside,city,,2024-09-04 18:54:21+00:00,,,,,,,,
-79.208617,44.0586926,-79.208617,44.985856,-78.425505,44.0586926,-79.208617,Polygon,CA,"Kawartha Lakes, Ontario",Kawartha Lakes,city,,2024-09-05 00:06:03+00:00,,,,,,,,
-73.911271,40.900789,-73.911271,40.988346,-73.810443,40.900789,-73.911271,Polygon,US,"Yonkers, NY",Yonkers,city,,2024-09-06 15:37:34+00:00,,,,,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,27.8097901,-82.8161102,Polygon,US,"Seminole, FL",Seminole,city,,2024-09-06 16:58:56+00:00,,,,,,,,
-74.107995,40.666879,-74.107995,40.769124,-74.0253309,40.666879,-74.107995,Polygon,US,"Jersey City, NJ",Jersey City,city,,2024-09-06 17:29:28+00:00,,,,,,,,
0.045148,51.423888,0.045148,51.5129158,0.1335005,51.423888,0.045148,Polygon,GB,"Eltham, London",Eltham,city,,2024-09-06 22:43:11+00:00,,,,,,,,
-82.752428,27.8246325,-82.752428,27.897396,-82.663128,27.8246325,-82.752428,Polygon,US,"Pinellas Park, FL",Pinellas Park,city,,2024-09-07 02:02:09+00:00,,,,,,,,
3.7770114,7.2991429,3.7770114,7.5590064,4.0335816,7.2991429,3.7770114,Polygon,NG,"Ibadan, Nigeria",Ibadan,city,,2024-09-07 16:00:29+00:00,,,,,,,,
-2.779296,53.4102828,-2.779296,53.484131,-2.680364,53.4102828,-2.779296,Polygon,GB,"Saint Helens, England",Saint Helens,city,,2024-09-08 10:19:15+00:00,,,,,,,,
-2.284883,52.357583,-2.284883,52.404553,-2.216515,52.357583,-2.284883,Polygon,GB,"Kidderminster, England",Kidderminster,city,,2024-09-08 11:19:59+00:00,,,,,,,,
4.7668714,43.7283674,4.7668714,43.7699241,4.8438009,43.7283674,4.7668714,Polygon,FR,"Les Baux-de-Provence, France",Les Baux-de-Provence,city,,2024-09-09 03:35:35+00:00,,,,,,,,
-70.30035,44.022138,-70.30035,44.144619,-70.213412,44.022138,-70.30035,Polygon,US,"Auburn, ME",Auburn,city,,2024-09-09 17:26:53+00:00,,,,,,,,
-96.150405,19.054575,-96.150405,19.231626,-96.0475763,19.054575,-96.150405,Polygon,MX,"Boca del Río, Veracruz de Ignacio de la Llave",Boca del Río,city,,2024-09-09 23:09:12+00:00,,,,,,,,
150.5209286,-34.11834701,150.5209286,-33.578141,151.343021,-34.11834701,150.5209286,Polygon,AU,"Sydney, New South Wales",Sydney,city,,2024-09-10 20:36:15+00:00,,,,,,,,
-0.254269,51.379947,-0.254269,51.441804,-0.124309,51.379947,-0.254269,Polygon,GB,"Merton, London",Merton,city,,2024-09-11 10:50:47+00:00,,,,,,,,
-120.874315,35.3408,-120.874315,35.415345,-120.817763,35.3408,-120.874315,Polygon,US,"Morro Bay, CA",Morro Bay,city,,2024-09-11 16:02:32+00:00,,,,,,,,
-88.1249957,41.9495573,-88.1249957,42.000647,-88.0315147,41.9495573,-88.1249957,Polygon,US,"Roselle, IL",Roselle,city,,2024-09-11 17:39:00+00:00,,,,,,,,
-82.469607,27.060699,-82.469607,27.133659,-82.393903,27.060699,-82.469607,Polygon,US,"Venice, FL",Venice,city,,2024-09-11 21:25:51+00:00,,,,,,,,
-124.482003,32.528832,-124.482003,42.009519,-114.131212,32.528832,-124.482003,Polygon,US,"California, USA",California,admin,,2024-09-11 22:41:47+00:00,,,,,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,27.8097901,-82.8161102,Polygon,US,"Seminole, FL",Seminole,city,,2024-09-13 20:33:39+00:00,,,,,,,,
-82.849182,27.865251,-82.849182,27.943275,-82.696478,27.865251,-82.849182,Polygon,US,"Largo, FL",Largo,city,,2024-09-13 20:42:38+00:00,,,,,,,,
-93.422453,45.150614,-93.422453,45.209599,-93.332378,45.150614,-93.422453,Polygon,US,"Champlin, MN",Champlin,city,,2024-09-14 12:31:47+00:00,,,,,,,,
-82.752428,27.8246325,-82.752428,27.897396,-82.663128,27.8246325,-82.752428,Polygon,US,"Pinellas Park, FL",Pinellas Park,city,,2024-09-14 13:13:26+00:00,,,,,,,,
-79.864567,40.422944,-79.864567,40.4528043,-79.820687,40.422944,-79.864567,Polygon,US,"Churchill, PA",Churchill,city,,2024-09-14 15:45:57+00:00,,,,,,,,
-83.5218655,33.877554,-83.5218655,34.035213,-83.277693,33.877554,-83.5218655,Polygon,US,"Athens, GA",Athens,city,,2024-09-14 18:56:44+00:00,,,,,,,,
-1.0454194,53.7942686,-1.0454194,53.8090932,-1.0361721,53.7942686,-1.0454194,Polygon,GB,"Barlby, England",Barlby,city,,2024-09-16 19:56:04+00:00,,,,,,,,
-95.2345837,29.59057,-95.2345837,29.746032,-95.083288,29.59057,-95.2345837,Polygon,US,"Pasadena, TX",Pasadena,city,,2024-09-17 12:28:13+00:00,,,,,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,27.8097901,-82.8161102,Polygon,US,"Seminole, FL",Seminole,city,,2024-09-18 06:43:38+00:00,,,,,,,,
-4.3932845,55.796184,-4.3932845,55.9204214,-4.0902182,55.796184,-4.3932845,Polygon,GB,"Glasgow, Scotland",Glasgow,city,,2024-09-18 18:42:11+00:00,,,,,,,,
36.6645733,-1.4446849,36.6645733,-1.1606735,37.1050092,-1.4446849,36.6645733,Polygon,KE,"Nairobi, Kenya",Nairobi,admin,,2024-09-19 04:42:34+00:00,,,,,,,,
-87.940033,41.644102,-87.940033,42.0230669,-87.523993,41.644102,-87.940033,Polygon,US,"Chicago, IL",Chicago,city,,2024-09-19 17:29:02+00:00,,,,,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,27.8097901,-82.8161102,Polygon,US,"Seminole, FL",Seminole,city,,2024-09-19 19:04:48+00:00,,,,,,,,
-95.8463667,29.676113,-95.8463667,29.7678652,-95.711056,29.676113,-95.8463667,Polygon,US,"Cinco Ranch, TX",Cinco Ranch,city,,2024-09-20 01:14:54+00:00,,,,,,,,
-82.762703,27.807938,-82.762703,27.837259,-82.722462,27.807938,-82.762703,Polygon,US,"West Lealman, FL",West Lealman,city,,2024-09-20 21:45:47+00:00,,,,,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,27.8097901,-82.8161102,Polygon,US,"Seminole, FL",Seminole,city,,2024-09-21 10:29:58+00:00,,,,,,,,
-120.00574,35.002086,-120.00574,42.002208,-114.039649,35.002086,-120.00574,Polygon,US,"Nevada, USA",Nevada,admin,,2024-09-21 17:04:11+00:00,,,,,,,,
-3.008791,53.36489,-3.008791,53.474867,-2.822063,53.36489,-3.008791,Polygon,GB,"Liverpool, England",Liverpool,city,,2024-09-22 21:34:52+00:00,,,,,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,27.8097901,-82.8161102,Polygon,US,"Seminole, FL",Seminole,city,,2024-09-23 01:37:34+00:00,,,,,,,,
28.389269,-20.2606175,28.389269,-20.0281621,28.7037192,-20.2606175,28.389269,Polygon,ZW,"Bulawayo, Zimbabwe",Bulawayo,admin,,2024-09-23 18:21:58+00:00,,,,,,,,
-83.894463,34.085001,-83.894463,34.137648,-83.7404667,34.085001,-83.894463,Polygon,US,"Braselton, GA",Braselton,city,,2024-09-24 16:41:38+00:00,,,,,,,,
28.0140761,-26.0572574,28.0140761,-25.9195514,28.1930256,-26.0572574,28.0140761,Polygon,ZA,"Midrand, South Africa",Midrand,city,,2024-09-25 12:56:40+00:00,,,,,,,,
-94.337321,38.962193,-94.337321,39.067528,-94.220922,38.962193,-94.337321,Polygon,US,"Blue Springs, MO",Blue Springs,city,,2024-09-26 03:14:41+00:00,,,,,,,,
-1.181601,51.8863658,-1.181601,51.923999,-1.118519,51.8863658,-1.181601,Polygon,GB,"Bicester, England",Bicester,city,,2024-09-26 12:03:16+00:00,,,,,,,,
36.6645733,-1.3890532,36.6645733,-1.1606735,37.0626672,-1.3890532,36.6645733,Polygon,KE,"Nairobi, Kenya",Nairobi,city,,2024-09-26 16:41:18+00:00,,,,,,,,
-82.8161102,27.8097901,-82.8161102,27.884351,-82.752081,27.8097901,-82.8161102,Polygon,US,"Seminole, FL",Seminole,city,,2024-09-26 23:07:48+00:00,,,,,,,,
-82.849182,27.865251,-82.849182,27.943275,-82.696478,27.865251,-82.849182,Polygon,US,"Largo, FL",Largo,city,,2024-09-26 23:54:41+00:00,,,,,,,,
